Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,DStar (Perfect EXAM = 0.0714),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_3_.qasm,0.5,0.5,0.5,,CCX,0.459183673,0.6011378,0.571428571,0.026548673,0.061946903,0.459183673,0.6011378,0.571428571,0.026548673,0.061946903
AddGate_ccx_inGap_4_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_ccx_inGap_5_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_ccx_inGap_6_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_ccx_inGap_7_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_ccx_inGap_8_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_ccx_inGap_9_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_cswap_inGap_3_.qasm,0.5,0.5,0.5,,CSWAP,0.476190476,,,,,0.476190476,,,,
AddGate_cswap_inGap_4_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cswap_inGap_5_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cswap_inGap_6_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cswap_inGap_7_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cswap_inGap_8_.qasm,0.357142857,0.357142857,0.357142857,,,,,,,,,,,,
AddGate_cx_inGap_3_.qasm,0.071428571,0.071428571,0.071428571,,CX,0.295918367,,,,,0.295918367,,,,
AddGate_cx_inGap_4_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_cx_inGap_5_.qasm,0.142857143,0.142857143,0.142857143,,,,,,,,,,,,
AddGate_cx_inGap_6_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cx_inGap_7_.qasm,0.357142857,0.357142857,0.357142857,,,,,,,,,,,,
AddGate_cx_inGap_8_.qasm,0.142857143,0.142857143,0.142857143,,,,,,,,,,,,
AddGate_cx_inGap_9_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_cz_inGap_3_.qasm,0.428571429,0.428571429,0.428571429,,CZ,0.464285714,,,,,0.464285714,,,,
AddGate_cz_inGap_4_.qasm,0.214285714,0.214285714,0.214285714,,,,,,,,,,,,
AddGate_cz_inGap_5_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cz_inGap_6_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_cz_inGap_7_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cz_inGap_8_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_h_inGap_10_.qasm,0.785714286,0.785714286,0.785714286,,H,0.725274725,,,,,0.725274725,,,,
AddGate_h_inGap_11_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_h_inGap_12_.qasm,0.928571429,0.928571429,0.928571429,,,,,,,,,,,,
AddGate_h_inGap_13_.qasm,0.785714286,0.785714286,0.785714286,,,,,,,,,,,,
AddGate_h_inGap_1_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_h_inGap_2_.qasm,0.642857143,0.642857143,0.642857143,,,,,,,,,,,,
AddGate_h_inGap_3_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_h_inGap_4_.qasm,0.785714286,0.785714286,0.785714286,,,,,,,,,,,,
AddGate_h_inGap_5_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_h_inGap_6_.qasm,0.785714286,0.785714286,0.785714286,,,,,,,,,,,,
AddGate_h_inGap_7_.qasm,0.785714286,0.785714286,0.785714286,,,,,,,,,,,,
AddGate_h_inGap_8_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_h_inGap_9_.qasm,0.785714286,0.785714286,0.785714286,,,,,,,,,,,,
AddGate_p_inGap_3_.qasm,0.571428571,0.571428571,0.571428571,,P,0.726190476,,,,,0.726190476,,,,
AddGate_p_inGap_4_.qasm,0.928571429,0.928571429,0.928571429,,,,,,,,,,,,
AddGate_p_inGap_5_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_p_inGap_6_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_p_inGap_7_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_p_inGap_8_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_rx_inGap_1_.qasm,0.714285714,0.714285714,0.714285714,,RX,0.714285714,,,,,0.714285714,,,,
AddGate_rx_inGap_2_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_rx_inGap_9_.qasm,0.928571429,0.928571429,0.928571429,,,,,,,,,,,,
AddGate_rxx_inGap_10_.qasm,0.5,0.5,0.5,,RXX,0.357142857,,,,,0.357142857,,,,
AddGate_rxx_inGap_11_.qasm,0.357142857,0.357142857,0.357142857,,,,,,,,,,,,
AddGate_rxx_inGap_12_.qasm,0.071428571,0.071428571,0.071428571,,,,,,,,,,,,
AddGate_rxx_inGap_13_.qasm,0.357142857,0.357142857,0.357142857,,,,,,,,,,,,
AddGate_rxx_inGap_1_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_rxx_inGap_2_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_rxx_inGap_9_.qasm,0.071428571,0.071428571,0.071428571,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.5,0.5,0.5,,RY,0.634920635,,,,,0.634920635,,,,
AddGate_ry_inGap_2_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_ry_inGap_3_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_ry_inGap_4_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.785714286,0.785714286,0.785714286,,,,,,,,,,,,
AddGate_ry_inGap_6_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_ry_inGap_7_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_ry_inGap_8_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_ry_inGap_9_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_rz_inGap_3_.qasm,0.785714286,0.785714286,0.785714286,,RZ,0.785714286,,,,,0.785714286,,,,
AddGate_rz_inGap_4_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_rz_inGap_5_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_rz_inGap_6_.qasm,0.928571429,0.928571429,0.928571429,,,,,,,,,,,,
AddGate_rz_inGap_7_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_rz_inGap_8_.qasm,0.785714286,0.785714286,0.785714286,,,,,,,,,,,,
AddGate_rzz_inGap_3_.qasm,0.285714286,0.285714286,0.285714286,,RZZ,0.428571429,,,,,0.428571429,,,,
AddGate_rzz_inGap_4_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_rzz_inGap_5_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_rzz_inGap_6_.qasm,0.142857143,0.142857143,0.142857143,,,,,,,,,,,,
AddGate_rzz_inGap_7_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_s_inGap_3_.qasm,0.714285714,0.714285714,0.714285714,,S,0.726190476,,,,,0.726190476,,,,
AddGate_s_inGap_4_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_s_inGap_5_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_s_inGap_6_.qasm,0.928571429,0.928571429,0.928571429,,,,,,,,,,,,
AddGate_s_inGap_7_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_s_inGap_8_.qasm,0.785714286,0.785714286,0.785714286,,,,,,,,,,,,
AddGate_swap_inGap_3_.qasm,1,1,1,,SWAP,0.8,,,,,0.8,,,,
AddGate_swap_inGap_4_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_swap_inGap_5_.qasm,1,1,1,,,,,,,,,,,,
AddGate_swap_inGap_6_.qasm,0.642857143,0.642857143,0.642857143,,,,,,,,,,,,
AddGate_swap_inGap_7_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_sx_inGap_1_.qasm,0.5,0.5,0.5,,SX,0.5,,,,,0.5,,,,
AddGate_sx_inGap_2_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_sx_inGap_9_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_t_inGap_3_.qasm,0.857142857,0.857142857,0.857142857,,T,0.952380952,,,,,0.952380952,,,,
AddGate_t_inGap_4_.qasm,1,1,1,,,,,,,,,,,,
AddGate_t_inGap_5_.qasm,1,1,1,,,,,,,,,,,,
AddGate_t_inGap_6_.qasm,1,1,1,,,,,,,,,,,,
AddGate_t_inGap_7_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_t_inGap_8_.qasm,1,1,1,,,,,,,,,,,,
AddGate_x_inGap_1_.qasm,0.5,0.5,0.5,,X,0.5,,,,,0.5,,,,
AddGate_x_inGap_2_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_x_inGap_9_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_y_inGap_1_.qasm,0.571428571,0.571428571,0.571428571,,Y,0.579365079,,,,,0.579365079,,,,
AddGate_y_inGap_2_.qasm,0.642857143,0.642857143,0.642857143,,,,,,,,,,,,
AddGate_y_inGap_3_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_y_inGap_4_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_y_inGap_5_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_y_inGap_6_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_y_inGap_7_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_y_inGap_8_.qasm,0.357142857,0.357142857,0.357142857,,,,,,,,,,,,
AddGate_y_inGap_9_.qasm,0.642857143,0.642857143,0.642857143,,,,,,,,,,,,
AddGate_z_inGap_3_.qasm,0.714285714,0.714285714,0.714285714,,Z,0.619047619,,,,,0.619047619,,,,
AddGate_z_inGap_4_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_z_inGap_5_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_z_inGap_6_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_z_inGap_7_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_z_inGap_8_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rand,Best,Worst,,,,,,,,,,,,,
0.196746327,0.714285714,0.714285714,,,,,,,,,,,,,
0.646489479,0.5,0.5,,,,,,,,,,,,,
0.0348675,0.571428571,0.571428571,,,,,,,,,,,,,
0.810598118,0.714285714,0.714285714,,,,,,,,,,,,,
0.066064344,0.714285714,0.714285714,,,,,,,,,,,,,
0.392693289,0.5,0.5,,,,,,,,,,,,,
0.845899901,,,,,,,,,,,,,,,
0.913885248,,,,,,,,,,,,,,,
0.9738633,,,,,,,,,,,,,,,
0.344511951,,,,,,,,,,,,,,,
0.390327221,,,,,,,,,,,,,,,
0.377300279,,,,,,,,,,,,,,,
0.836122979,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,0.285714286,0.285714286,,0.576719577,0.5,0.037037037,0.074074074,,0.576719577,0.5,0.037037037,0.074074074,,,
,0.428571429,0.428571429,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.071428571,0.071428571,,,,,,,,,,,,,
,0.142857143,0.142857143,,,,,,,,,,,,,
,0.428571429,0.428571429,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.214285714,0.214285714,,,,,,,,,,,,,
,0.785714286,0.785714286,,,,,,,,,,,,,
,0.785714286,0.785714286,,,,,,,,,,,,,
,0.571428571,0.571428571,,,,,,,,,,,,,
,0.571428571,0.571428571,,,,,,,,,,,,,
,0.571428571,0.571428571,,,,,,,,,,,,,
,0.857142857,0.857142857,,,,,,,,,,,,,
,0.714285714,0.714285714,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.928571429,0.928571429,,,,,,,,,,,,,
,0.357142857,0.357142857,,,,,,,,,,,,,
,0.714285714,0.714285714,,,,,,,,,,,,,
,0.071428571,0.071428571,,,,,,,,,,,,,
,0.857142857,0.857142857,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.428571429,0.428571429,,,,,,,,,,,,,
,0.857142857,0.857142857,,,,,,,,,,,,,
,0.857142857,0.857142857,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.285714286,0.285714286,,,,,,,,,,,,,
,0.428571429,0.428571429,,,,,,,,,,,,,
,0.571428571,0.571428571,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.785714286,0.785714286,,,,,,,,,,,,,
,0.857142857,0.857142857,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.714285714,0.714285714,,,,,,,,,,,,,
,0.285714286,0.285714286,,,,,,,,,,,,,
,0.857142857,0.857142857,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.571428571,0.571428571,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.714285714,0.714285714,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.571428571,0.571428571,,,,,,,,,,,,,
