Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,Barinel (Perfect EXAM = 0.04545),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_6_.qasm,0.727272727,0.727272727,0.727272727,,CCX,0.393939394,0.268181818,0.181818182,0.175,0.45,0.393939394,0.272159091,0.181818182,0.175,0.45
AddGate_ccx_inGap_7_.qasm,0.181818182,0.181818182,0.181818182,,,,,,,,,,,,
AddGate_ccx_inGap_8_.qasm,0.272727273,0.272727273,0.272727273,,,,,,,,,,,,
AddGate_cswap_inGap_11_.qasm,1,1,1,,CSWAP,0.696969697,,,,,0.696969697,,,,
AddGate_cswap_inGap_6_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cswap_inGap_9_.qasm,0.590909091,0.590909091,0.590909091,,,,,,,,,,,,
AddGate_cx_inGap_6_.qasm,0.227272727,0.227272727,0.227272727,,CX,0.257575758,,,,,0.257575758,,,,
AddGate_cx_inGap_7_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_cx_inGap_8_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cz_inGap_10_.qasm,0.181818182,0.181818182,0.181818182,,CZ,0.477272727,,,,,0.477272727,,,,
AddGate_cz_inGap_11_.qasm,0.227272727,0.227272727,0.227272727,,,,,,,,,,,,
AddGate_cz_inGap_6_.qasm,0.590909091,0.590909091,0.590909091,,,,,,,,,,,,
AddGate_cz_inGap_7_.qasm,0.636363636,0.636363636,0.636363636,,,,,,,,,,,,
AddGate_cz_inGap_8_.qasm,0.954545455,0.954545455,0.954545455,,,,,,,,,,,,
AddGate_cz_inGap_9_.qasm,0.272727273,0.272727273,0.272727273,,,,,,,,,,,,
AddGate_h_inGap_10_.qasm,0.318181818,0.318181818,0.318181818,,H,0.218181818,,,,,0.218181818,,,,
AddGate_h_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_h_inGap_1_.qasm,0.318181818,0.318181818,0.318181818,,,,,,,,,,,,
AddGate_h_inGap_2_.qasm,0.318181818,0.318181818,0.318181818,,,,,,,,,,,,
AddGate_h_inGap_9_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_p_inGap_10_.qasm,0.136363636,0.136363636,0.136363636,,P,0.151515152,,,,,0.166666667,,,,
AddGate_p_inGap_11_.qasm,0.227272727,0.272727273,0.25,,,,,,,,,,,,
AddGate_p_inGap_9_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_rx_inGap_12_.qasm,0.045454545,0.045454545,0.045454545,,RX,0.1,,,,,0.109090909,,,,
AddGate_rx_inGap_13_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rx_inGap_14_.qasm,0.136363636,0.136363636,0.136363636,,,,,,,,,,,,
AddGate_rx_inGap_15_.qasm,0.227272727,0.272727273,0.25,,,,,,,,,,,,
AddGate_rx_inGap_16_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rxx_inGap_10_.qasm,0.227272727,0.227272727,0.227272727,,RXX,0.232954545,,,,,0.232954545,,,,
AddGate_rxx_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rxx_inGap_12_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rxx_inGap_13_.qasm,0.681818182,0.681818182,0.681818182,,,,,,,,,,,,
AddGate_rxx_inGap_14_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_rxx_inGap_15_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rxx_inGap_16_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rxx_inGap_1_.qasm,0.136363636,0.136363636,0.136363636,,,,,,,,,,,,
AddGate_rxx_inGap_2_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_rxx_inGap_3_.qasm,0.318181818,0.318181818,0.318181818,,,,,,,,,,,,
AddGate_rxx_inGap_4_.qasm,0.136363636,0.136363636,0.136363636,,,,,,,,,,,,
AddGate_rxx_inGap_5_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_rxx_inGap_6_.qasm,0.227272727,0.227272727,0.227272727,,,,,,,,,,,,
AddGate_rxx_inGap_7_.qasm,0.954545455,0.954545455,0.954545455,,,,,,,,,,,,
AddGate_rxx_inGap_8_.qasm,0.454545455,0.454545455,0.454545455,,,,,,,,,,,,
AddGate_rxx_inGap_9_.qasm,0.136363636,0.136363636,0.136363636,,,,,,,,,,,,
AddGate_ry_inGap_10_.qasm,0.136363636,0.136363636,0.136363636,,RY,0.113636364,,,,,0.118181818,,,,
AddGate_ry_inGap_11_.qasm,0.090909091,0.136363636,0.113636364,,,,,,,,,,,,
AddGate_ry_inGap_12_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_ry_inGap_13_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_ry_inGap_14_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_ry_inGap_15_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_ry_inGap_16_.qasm,0.181818182,0.181818182,0.181818182,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.272727273,0.272727273,0.272727273,,,,,,,,,,,,
AddGate_ry_inGap_2_.qasm,0.181818182,0.181818182,0.181818182,,,,,,,,,,,,
AddGate_ry_inGap_9_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_rz_inGap_10_.qasm,0.136363636,0.136363636,0.136363636,,RZ,0.181818182,,,,,0.196969697,,,,
AddGate_rz_inGap_11_.qasm,0.272727273,0.318181818,0.295454545,,,,,,,,,,,,
AddGate_rz_inGap_6_.qasm,0.136363636,0.136363636,0.136363636,,,,,,,,,,,,
AddGate_rzz_inGap_10_.qasm,0.590909091,0.590909091,0.590909091,,RZZ,0.46969697,,,,,0.46969697,,,,
AddGate_rzz_inGap_11_.qasm,0.181818182,0.181818182,0.181818182,,,,,,,,,,,,
AddGate_rzz_inGap_6_.qasm,0.363636364,0.363636364,0.363636364,,,,,,,,,,,,
AddGate_rzz_inGap_7_.qasm,1,1,1,,,,,,,,,,,,
AddGate_rzz_inGap_8_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_rzz_inGap_9_.qasm,0.590909091,0.590909091,0.590909091,,,,,,,,,,,,
AddGate_s_inGap_11_.qasm,0.227272727,0.272727273,0.25,,S,0.227272727,,,,,0.272727273,,,,
AddGate_swap_inGap_10_.qasm,0.363636364,0.363636364,0.363636364,,SWAP,0.21969697,,,,,0.21969697,,,,
AddGate_swap_inGap_11_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_swap_inGap_6_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_swap_inGap_7_.qasm,0.136363636,0.136363636,0.136363636,,,,,,,,,,,,
AddGate_swap_inGap_8_.qasm,0.136363636,0.136363636,0.136363636,,,,,,,,,,,,
AddGate_swap_inGap_9_.qasm,0.545454545,0.545454545,0.545454545,,,,,,,,,,,,
AddGate_x_inGap_1_.qasm,0.181818182,0.181818182,0.181818182,,X,0.454545455,,,,,0.454545455,,,,
AddGate_x_inGap_2_.qasm,0.727272727,0.727272727,0.727272727,,,,,,,,,,,,
AddGate_y_inGap_10_.qasm,0.136363636,0.136363636,0.136363636,,Y,0.209090909,,,,,0.218181818,,,,
AddGate_y_inGap_11_.qasm,0.227272727,0.272727273,0.25,,,,,,,,,,,,
AddGate_y_inGap_1_.qasm,0.318181818,0.318181818,0.318181818,,,,,,,,,,,,
AddGate_y_inGap_2_.qasm,0.227272727,0.227272727,0.227272727,,,,,,,,,,,,
AddGate_y_inGap_9_.qasm,0.136363636,0.136363636,0.136363636,,,,,,,,,,,,
AddGate_z_inGap_10_.qasm,0.136363636,0.136363636,0.136363636,,Z,0.257575758,,,,,0.272727273,,,,
AddGate_z_inGap_11_.qasm,0.227272727,0.272727273,0.25,,,,,,,,,,,,
AddGate_z_inGap_9_.qasm,0.409090909,0.409090909,0.409090909,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rand,Best,Worst,,,,,,,,,,,,,
0.15723535,0.318181818,0.318181818,,,,,,,,,,,,,
0.914414042,0.136363636,0.136363636,,,,,,,,,,,,,
0.99693568,0.227272727,0.272727273,,,,,,,,,,,,,
0.031248504,0.227272727,0.227272727,,,,,,,,,,,,,
0.238061874,0.136363636,0.136363636,,,,,,,,,,,,,
0.4968981,,,,,,,,,,,,,,,
0.552248586,,,,,,,,,,,,,,,
0.417600508,,,,,,,,,,,,,,,
0.239982344,,,,,,,,,,,,,,,
0.40987984,,,,,,,,,,,,,,,
0.134873327,,,,,,,,,,,,,,,
0.312506484,,,,,,,,,,,,,,,
0.04015226,,,,,,,,,,,,,,,
0.389662224,,,,,,,,,,,,,,,
0.180563527,,,,,,,,,,,,,,,
0.515891081,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,0.727272727,0.727272727,,0.283838384,0.227272727,0.133333333,0.4,,0.288888889,0.272727273,0.133333333,0.4,,,
,0.181818182,0.181818182,,,,,,,,,,,,,
,0.272727273,0.272727273,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.590909091,0.590909091,,,,,,,,,,,,,
,0.227272727,0.227272727,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.272727273,0.272727273,,,,,,,,,,,,,
,0.590909091,0.590909091,,,,,,,,,,,,,
,0.636363636,0.636363636,,,,,,,,,,,,,
,0.318181818,0.318181818,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.090909091,0.090909091,,,,,,,,,,,,,
,0.136363636,0.136363636,,,,,,,,,,,,,
,0.227272727,0.272727273,,,,,,,,,,,,,
,0.090909091,0.090909091,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.136363636,0.136363636,,,,,,,,,,,,,
,0.318181818,0.318181818,,,,,,,,,,,,,
,0.090909091,0.090909091,,,,,,,,,,,,,
,0.136363636,0.136363636,,,,,,,,,,,,,
,0.181818182,0.181818182,,,,,,,,,,,,,
,0.136363636,0.136363636,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.136363636,0.136363636,,,,,,,,,,,,,
,0.272727273,0.318181818,,,,,,,,,,,,,
,0.136363636,0.136363636,,,,,,,,,,,,,
,0.590909091,0.590909091,,,,,,,,,,,,,
,0.363636364,0.363636364,,,,,,,,,,,,,
,0.590909091,0.590909091,,,,,,,,,,,,,
,0.227272727,0.272727273,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.363636364,0.363636364,,,,,,,,,,,,,
,0.090909091,0.090909091,,,,,,,,,,,,,
,0.181818182,0.181818182,,,,,,,,,,,,,
,0.727272727,0.727272727,,,,,,,,,,,,,
,0.318181818,0.318181818,,,,,,,,,,,,,
,0.136363636,0.136363636,,,,,,,,,,,,,
,0.227272727,0.272727273,,,,,,,,,,,,,
,0.136363636,0.136363636,,,,,,,,,,,,,
,0.227272727,0.272727273,,,,,,,,,,,,,
,0.409090909,0.409090909,,,,,,,,,,,,,
