Program,exam_score,,AVERAGE BY GATE,,AVERAGE OVERALL,,MEDIAN,,Top 1,,Top 3,,,,SUBSET,,AVERAGE,,MEDIAN, ,Top 1,,Top 3
AddGate_ccx_inGap_10_.qasm,0.181818182,,0.327272727,,0.463390663,,0.454545455,,0.083333333,,0.380208333,,,,0.545454545,,0.511111111,,0.545454545,,0.066666667,,0.266666667
AddGate_ccx_inGap_11_.qasm,0.272727273,,,,,,,,,,,,,,0.545454545,,,,,,,,
AddGate_ccx_inGap_12_.qasm,0.545454545,,,,,,,,,,,,,,0.363636364,,,,,,,,
AddGate_ccx_inGap_13_.qasm,0.181818182,,,,,,,,,,,,,,0.272727273,,,,,,,,
AddGate_ccx_inGap_14_.qasm,0.454545455,,,,,,,,,,,,,,0.545454545,,,,,,,,
AddGate_ccx_inGap_15_.qasm,0.363636364,,,,,,,,,,,,,,0.545454545,,,,,,,,
AddGate_ccx_inGap_1_.qasm,0.090909091,,,,,,,,,,,,,,0.454545455,,,,,,,,
AddGate_ccx_inGap_2_.qasm,0.545454545,,,,,,,,,,,,,,0.090909091,,,,,,,,
AddGate_ccx_inGap_3_.qasm,0.454545455,,,,,,,,,,,,,,0.272727273,,,,,,,,
AddGate_ccx_inGap_4_.qasm,0.545454545,,,,,,,,,,,,,,0.272727273,,,,,,,,
AddGate_ccx_inGap_5_.qasm,0.181818182,,,,,,,,,,,,,,0.545454545,,,,,,,,
AddGate_ccx_inGap_6_.qasm,0.181818182,,,,,,,,,,,,,,0.545454545,,,,,,,,
AddGate_ccx_inGap_7_.qasm,0.272727273,,,,,,,,,,,,,,0.272727273,,,,,,,,
AddGate_ccx_inGap_8_.qasm,0.545454545,,,,,,,,,,,,,,1,,,,,,,,
AddGate_ccx_inGap_9_.qasm,0.090909091,,,,,,,,,,,,,,0.909090909,,,,,,,,
AddGate_cswap_inGap_10_.qasm,0.181818182,,0.418181818,,,,,,,,,,,,0.545454545,,,,,,,,
AddGate_cswap_inGap_11_.qasm,0.727272727,,,,,,,,,,,,,,0.454545455,,,,,,,,
AddGate_cswap_inGap_12_.qasm,0.272727273,,,,,,,,RAND,EXAM,,,,,0.636363636,,,,,,,,
AddGate_cswap_inGap_13_.qasm,0.818181818,,,,,,,,0.110504099,0.727272727,,,,,0.272727273,,,,,,,,
AddGate_cswap_inGap_14_.qasm,0.181818182,,,,,,,,0.494485464,0.909090909,,,,,0.363636364,,,,,,,,
AddGate_cswap_inGap_15_.qasm,0.727272727,,,,,,,,0.604530433,0.454545455,,,,,0.272727273,,,,,,,,
AddGate_cswap_inGap_1_.qasm,0.181818182,,,,,,,,0.071120159,0.545454545,,,,,0.545454545,,,,,,,,
AddGate_cswap_inGap_2_.qasm,0.454545455,,,,,,,,0.092758648,0.090909091,,,,,0.454545455,,,,,,,,
AddGate_cswap_inGap_3_.qasm,0.545454545,,,,,,,,0.490894579,0.181818182,,,,,0.545454545,,,,,,,,
AddGate_cswap_inGap_4_.qasm,0.272727273,,,,,,,,0.220779606,1,,,,,0.090909091,,,,,,,,
AddGate_cswap_inGap_5_.qasm,0.545454545,,,,,,,,0.760463799,,,,,,0.636363636,,,,,,,,
AddGate_cswap_inGap_6_.qasm,0.090909091,,,,,,,,0.460073208,,,,,,0.545454545,,,,,,,,
AddGate_cswap_inGap_7_.qasm,0.545454545,,,,,,,,0.449029891,,,,,,0.909090909,,,,,,,,
AddGate_cswap_inGap_8_.qasm,0.545454545,,,,,,,,0.626579474,,,,,,0.272727273,,,,,,,,
AddGate_cswap_inGap_9_.qasm,0.181818182,,,,,,,,0.300657461,,,,,,0.545454545,,,,,,,,
AddGate_h_inGap_10_.qasm,0.181818182,,0.23030303,,,,,,0.894823391,,,,,,0.909090909,,,,,,,,
AddGate_h_inGap_11_.qasm,0.272727273,,,,,,,,0.739782712,,,,,,1,,,,,,,,
AddGate_h_inGap_12_.qasm,0.363636364,,,,,,,,0.445947831,,,,,,0.909090909,,,,,,,,
AddGate_h_inGap_13_.qasm,0.272727273,,,,,,,,0.104186011,,,,,,0.272727273,,,,,,,,
AddGate_h_inGap_14_.qasm,0.454545455,,,,,,,,0.994466565,,,,,,0.454545455,,,,,,,,
AddGate_h_inGap_15_.qasm,0.454545455,,,,,,,,0.83184335,,,,,,0.454545455,,,,,,,,
AddGate_h_inGap_1_.qasm,0.181818182,,,,,,,,0.569335222,,,,,,1,,,,,,,,
AddGate_h_inGap_2_.qasm,0.090909091,,,,,,,,0.307567218,,,,,,0.181818182,,,,,,,,
AddGate_h_inGap_3_.qasm,0.181818182,,,,,,,,0.924014885,,,,,,0.454545455,,,,,,,,
AddGate_h_inGap_4_.qasm,0.090909091,,,,,,,,0.565117724,,,,,,0.090909091,,,,,,,,
AddGate_h_inGap_5_.qasm,0.090909091,,,,,,,,0.691227908,,,,,,0.545454545,,,,,,,,
AddGate_h_inGap_6_.qasm,0.272727273,,,,,,,,0.220147525,,,,,,0.363636364,,,,,,,,
AddGate_h_inGap_7_.qasm,0.181818182,,,,,,,,0.420157283,,,,,,0.727272727,,,,,,,,
AddGate_h_inGap_8_.qasm,0.090909091,,,,,,,,0.352357313,,,,,,0.909090909,,,,,,,,
AddGate_h_inGap_9_.qasm,0.272727273,,,,,,,,0.5737099,,,,,,0.454545455,,,,,,,,
AddGate_id_inGap_1_.qasm,1,,0.922077922,,,,,,0.28574634,,,,,,,,,,,,,,
AddGate_id_inGap_2_.qasm,1,,,,,,,,0.914781417,,,,,,,,,,,,,,
AddGate_id_inGap_3_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_id_inGap_4_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_id_inGap_5_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_id_inGap_6_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_id_inGap_9_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_10_.qasm,0.636363636,,0.6,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_11_.qasm,0.636363636,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_12_.qasm,0.818181818,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_13_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_14_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_15_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_1_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_2_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_3_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_4_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_5_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_6_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_7_.qasm,0.818181818,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_8_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_p_inGap_9_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_10_.qasm,0.454545455,,0.545454545,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_11_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_12_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_13_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_14_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_15_.qasm,0.636363636,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_1_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_2_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_3_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_4_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_5_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_6_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_7_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_8_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_9_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_10_.qasm,0.454545455,,0.581818182,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_11_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_12_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_13_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_14_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_15_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_1_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_2_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_3_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_4_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_5_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_6_.qasm,0.636363636,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_7_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_8_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_9_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_10_.qasm,0.272727273,,0.284848485,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_11_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_12_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_13_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_14_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_15_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_2_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_3_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_4_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_6_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_7_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_8_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_9_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_10_.qasm,0.636363636,,0.618181818,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_11_.qasm,0.636363636,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_12_.qasm,0.818181818,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_13_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_14_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_15_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_1_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_2_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_3_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_4_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_5_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_6_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_7_.qasm,0.818181818,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_8_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_9_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_10_.qasm,0.636363636,,0.539393939,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_11_.qasm,0.636363636,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_12_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_13_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_14_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_15_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_1_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_2_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_3_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_4_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_5_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_6_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_7_.qasm,0.818181818,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_8_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_9_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_1_.qasm,0.090909091,,0.558441558,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_2_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_3_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_4_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_5_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_6_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_9_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_1_.qasm,1,,0.649350649,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_2_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_3_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_4_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_5_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_6_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_9_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_10_.qasm,0.454545455,,0.321212121,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_11_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_12_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_13_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_14_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_15_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_1_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_2_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_3_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_4_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_5_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_6_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_7_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_8_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_9_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_1_.qasm,1,,0.662337662,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_2_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_3_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_4_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_5_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_6_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_9_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_1_.qasm,0.272727273,,0.246753247,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_2_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_3_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_4_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_5_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_6_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_9_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_1_.qasm,0.090909091,,0.558441558,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_2_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_3_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_4_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_5_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_6_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_9_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
